Instruction/Experiment/Agent,Num Repeats,Number Episodes,Avg R Mean,Avg R Median,Avg R Std Error,Avg R Std Dev,Avg R Variance,Cumulative R Mean,Cumulative R Median,Cumulative R Std Error,Cumulative R Std Dev,Cumulative R Variance,Time Avg
instr/Instr_Experiment_training/DQN_language_default,10,10000,0.2815674582378306,0.178271,0.003215728263213648,0.3215567472780626,0.10339874172004783,1823.3303526500215,1878.6517000000972,5.984195777360579,598.4195777360579,358105.9910178019,0.12118435986042018
instr/Instr_Experiment_training/DQN_LLM,10,10000,0.2547977262539955,0.0614649999999999,0.004727712951495084,0.4727476559937573,0.2234903462475919,2039.3178152499415,2171.335100000003,4.657468967642047,465.7468967642047,216920.17184548674,0.11377895953655238
instr/Instr_Experiment_training/Qlearntab_language_default,10,10000,0.07925239132601485,-0.095911,0.004726860841380872,0.47266244924299317,0.2234097909243851,1108.3607611999512,1129.1131499999565,2.9915745101687063,299.15745101687065,89495.18049891137,0.027830137741565626
instr/Instr_Experiment_training/Qlearntab_LLM,10,10000,0.06313250890311653,-0.096853,0.004428978177354076,0.4428756722908709,0.19613886110709086,964.6918385499788,978.1861999999396,2.8410671735546305,284.10671735546305,80716.62684649696,0.03048804064989082
no_instr/Standard_Experiment_training/DefaultEng_DQN_language_default,10,10000,0.11824477789480689,0.1066899999999999,0.0010751662746785325,0.10751125150207735,0.01155866919954293,725.3703014999753,787.6111499999495,3.115615001403221,311.5615001403221,97070.56836968791,0.11643457921743389
no_instr/Standard_Experiment_training/DefaultEng_DQN_LLM,10,10000,0.4169884019636781,0.4188869999999999,0.0006587604414631456,0.06587275026175808,0.00433921922704795,2152.0414793400873,2163.743500000036,12.149403793895214,1214.9403793895215,1476080.1254711545,0.08373719520568843
no_instr/Standard_Experiment_training/DefaultEng_Qlearntab_language_default,10,10000,0.996879291716115,0.99698,1.8000302475943893e-05,0.0017999402438318593,3.2397848813654934e-06,4985.0176275601925,4984.994199999997,28.781593548102457,2878.1593548102455,8283801.271681728,0.0010814018964766653
no_instr/Standard_Experiment_training/DefaultEng_Qlearntab_LLM,10,10000,0.9969418973261435,0.996982,3.3926451595645555e-06,0.0003392475523065559,1.1508890174598936e-07,4985.148831990193,4985.123899999997,28.781642177850035,2878.1642177850035,8283829.26453796,0.0014100228786467698
